Model,Acc.tr,Sen.tr,Spe.tr,MCC.tr,Acc.cv,Sen.cv,Spe.cv,MCC.cv,Acc.tes,Sen.tes,Spe.tes,MCC.tes
Logistic,94.32,94.77,93.90,0.89,82.65,82.89,82.42,0.65,85.00,88.57,82.22,0.70
RF_tree500,84.86,83.23,86.54,0.70,72.28,71.04,73.46,0.45,92.50,89.74,95.12,0.85
SVM_c16384_g0.0048,86.62,90.98,83.13,0.74,81.61,82.64,80.65,0.63,89.80,80.00,98.11,0.80
ANN_h5,92.64,85.91,99.33,0.86,84.28,84.46,84.11,0.69,91.84,86.67,96.23,0.84
J48,97.79,98.68,96.97,0.96,78.23,77.42,79.01,0.56,86.25,85.00,87.50,0.73
